Fetched 1000 contributors.

55. Robin Dupret — https://contributors.rubyonrails.org/contributors/robin-dupret/commits (since 04 Jul 2012, commits 319)
56. Prem Sichanugrist — https://contributors.rubyonrails.org/contributors/prem-sichanugrist/commits (since 10 Aug 2009, commits 308)
57. Claudio Baccigalupo — https://contributors.rubyonrails.org/contributors/claudio-baccigalupo/commits (since 26 Jan 2012, commits 280)
58. Toshinori Kajihara — https://contributors.rubyonrails.org/contributors/toshinori-kajihara/commits (since 12 Sep 2011, commits 271)
59. Mike Gunderloy — https://contributors.rubyonrails.org/contributors/mike-gunderloy/commits (since 31 Aug 2008, commits 258)
60. Steve Klabnik — https://contributors.rubyonrails.org/contributors/steve-klabnik/commits (since 05 Mar 2012, commits 245)
61. yui-knk — https://contributors.rubyonrails.org/contributors/yui-knk/commits (since 27 Aug 2014, commits 243)
62. Alex Ghiculescu — https://contributors.rubyonrails.org/contributors/alex-ghiculescu/commits (since 19 Dec 2013, commits 229)
63. Javan Makhmali — https://contributors.rubyonrails.org/contributors/javan-makhmali/commits (since 24 May 2013, commits 202)
64. Edouard CHIN — https://contributors.rubyonrails.org/contributors/edouard-chin/commits (since 07 Jan 2016, commits 200)
65. Abdelkader Boudih — https://contributors.rubyonrails.org/contributors/abdelkader-boudih/commits (since 18 May 2014, commits 194)
66. Nick Kallen — https://contributors.rubyonrails.org/contributors/nick-kallen/commits (since 30 Dec 2007, commits 192)
67. Frederick Cheung — https://contributors.rubyonrails.org/contributors/frederick-cheung/commits (since 21 Sep 2007, commits 183)
68. Geoff Buesing — https://contributors.rubyonrails.org/contributors/geoff-buesing/commits (since 27 Feb 2007, commits 179)
69. Sebastian Martinez — https://contributors.rubyonrails.org/contributors/sebastian-martinez/commits (since 18 Mar 2010, commits 161)
70. Sergey Nartimov — https://contributors.rubyonrails.org/contributors/sergey-nartimov/commits (since 17 Nov 2011, commits 159)
71. Łukasz Strzałkowski — https://contributors.rubyonrails.org/contributors/lukasz-strzalkowski/commits (since 25 Jun 2010, commits 158)
72. Adrianna Chang — https://contributors.rubyonrails.org/contributors/adrianna-chang/commits (since 25 Aug 2020, commits 156)
73. Yoshiyuki Hirano — https://contributors.rubyonrails.org/contributors/yoshiyuki-hirano/commits (since 15 Jul 2017, commits 154)
74. Sean Doyle — https://contributors.rubyonrails.org/contributors/sean-doyle/commits (since 27 Jun 2014, commits 153)
75. Bryan Helmkamp — https://contributors.rubyonrails.org/contributors/bryan-helmkamp/commits (since 16 Oct 2007, commits 143)
76. Guo Xiang Tan — https://contributors.rubyonrails.org/contributors/guo-xiang-tan/commits (since 10 Mar 2014, commits 143)
77. Sam Stephenson — https://contributors.rubyonrails.org/contributors/sam-stephenson/commits (since 07 Dec 2004, commits 142)
78. Josh Kalderimis — https://contributors.rubyonrails.org/contributors/josh-kalderimis/commits (since 08 May 2010, commits 140)
79. Oscar Del Ben — https://contributors.rubyonrails.org/contributors/oscar-del-ben/commits (since 14 Nov 2011, commits 140)
80. Tobias Lütke — https://contributors.rubyonrails.org/contributors/tobias-lutke/commits (since 07 Dec 2004, commits 131)
81. Bogdan Gusiev — https://contributors.rubyonrails.org/contributors/bogdan-gusiev/commits (since 26 May 2011, commits 128)
82. Tarmo Tänav — https://contributors.rubyonrails.org/contributors/tarmo-tanav/commits (since 06 Aug 2007, commits 126)
83. Alexey Vakhov — https://contributors.rubyonrails.org/contributors/alexey-vakhov/commits (since 02 Sep 2011, commits 123)
84. Nikita Vasilevsky — https://contributors.rubyonrails.org/contributors/nikita-vasilevsky/commits (since 02 Jun 2021, commits 123)
85. Akhil G Krishnan — https://contributors.rubyonrails.org/contributors/akhil-g-krishnan/commits (since 27 Jun 2021, commits 118)
86. Hongli Lai (Phusion) — https://contributors.rubyonrails.org/contributors/hongli-lai-phusion/commits (since 28 Nov 2007, commits 118)
87. Jorge Manrubia — https://contributors.rubyonrails.org/contributors/jorge-manrubia/commits (since 21 Jan 2020, commits 117)
88. utilum — https://contributors.rubyonrails.org/contributors/utilum/commits (since 02 Apr 2016, commits 116)
89. Juanito Fatas — https://contributors.rubyonrails.org/contributors/juanito-fatas/commits (since 09 Sep 2013, commits 112)
90. Vishnu Atrai — https://contributors.rubyonrails.org/contributors/vishnu-atrai/commits (since 25 Apr 2011, commits 112)
91. Abhay Nikam — https://contributors.rubyonrails.org/contributors/abhay-nikam/commits (since 31 Jan 2019, commits 111)
92. Ridhwana — https://contributors.rubyonrails.org/contributors/ridhwana/commits (since 14 Feb 2024, commits 111)
93. Sven Fuchs — https://contributors.rubyonrails.org/contributors/sven-fuchs/commits (since 16 May 2008, commits 111)
94. Akshay Vishnoi — https://contributors.rubyonrails.org/contributors/akshay-vishnoi/commits (since 14 Nov 2013, commits 109)
95. Koichi ITO — https://contributors.rubyonrails.org/contributors/koichi-ito/commits (since 16 Nov 2016, commits 109)
96. Jason Noble — https://contributors.rubyonrails.org/contributors/jason-noble/commits (since 07 May 2011, commits 107)
97. Étienne Barrié — https://contributors.rubyonrails.org/contributors/etienne-barrie/commits (since 18 May 2010, commits 105)
98. Thomas Fuchs — https://contributors.rubyonrails.org/contributors/thomas-fuchs/commits (since 26 Mar 2005, commits 104)
99. Jaime Iniesta — https://contributors.rubyonrails.org/contributors/jaime-iniesta/commits (since 04 Mar 2010, commits 103)
100. Kir Shatrov — https://contributors.rubyonrails.org/contributors/kir-shatrov/commits (since 31 Aug 2011, commits 102)
101. Damien Mathieu — https://contributors.rubyonrails.org/contributors/damien-mathieu/commits (since 18 Jan 2010, commits 101)
102. Stefan Kaes — https://contributors.rubyonrails.org/contributors/stefan-kaes/commits (since 31 Mar 2005, commits 99)
103. Ernie Miller — https://contributors.rubyonrails.org/contributors/ernie-miller/commits (since 29 Jun 2008, commits 95)
104. Rizwan Reza — https://contributors.rubyonrails.org/contributors/rizwan-reza/commits (since 08 Aug 2009, commits 94)
105. Mehmet Emin İNAÇ — https://contributors.rubyonrails.org/contributors/mehmet-emin-inac/commits (since 04 Apr 2015, commits 92)
106. Daniel Colson — https://contributors.rubyonrails.org/contributors/daniel-colson/commits (since 18 Jan 2017, commits 90)
107. Earlopain — https://contributors.rubyonrails.org/contributors/earlopain/commits (since 22 Nov 2022, commits 89)
108. Genadi Samokovarov — https://contributors.rubyonrails.org/contributors/genadi-samokovarov/commits (since 30 May 2013, commits 89)
109. Cheah Chu Yeow — https://contributors.rubyonrails.org/contributors/cheah-chu-yeow/commits (since 28 Sep 2007, commits 88)
110. John Crepezzi — https://contributors.rubyonrails.org/contributors/john-crepezzi/commits (since 24 Jul 2019, commits 88)
111. Mike Dalessio — https://contributors.rubyonrails.org/contributors/mike-dalessio/commits (since 17 Aug 2010, commits 87)
112. John J. Wang — https://contributors.rubyonrails.org/contributors/john-j-wang/commits (since 20 Jan 2013, commits 85)
113. Aditya Kapoor — https://contributors.rubyonrails.org/contributors/aditya-kapoor/commits (since 22 Apr 2013, commits 84)
114. Kuldeep Aggarwal — https://contributors.rubyonrails.org/contributors/kuldeep-aggarwal/commits (since 11 Nov 2013, commits 83)
115. Leon Breedt — https://contributors.rubyonrails.org/contributors/leon-breedt/commits (since 18 Feb 2005, commits 82)
116. Raimonds Simanovskis — https://contributors.rubyonrails.org/contributors/raimonds-simanovskis/commits (since 09 Jun 2009, commits 82)
117. thedarkone — https://contributors.rubyonrails.org/contributors/thedarkone/commits (since 12 Feb 2009, commits 80)
118. Gonçalo Silva — https://contributors.rubyonrails.org/contributors/goncalo-silva/commits (since 28 May 2010, commits 78)
119. Rohit Arondekar — https://contributors.rubyonrails.org/contributors/rohit-arondekar/commits (since 11 Apr 2010, commits 78)
