GitHub Username,Name,Commits,Contributor URL
steveklabnik,Steve Klabnik,245,https://contributors.rubyonrails.org/contributors/steve-klabnik/commits
yui-knk,yui-knk,243,https://contributors.rubyonrails.org/contributors/yui-knk/commits
zzak,Alex Ghiculescu,229,https://contributors.rubyonrails.org/contributors/alex-ghiculescu/commits
jonathanhefner,Javan Makhmali,202,https://contributors.rubyonrails.org/contributors/javan-makhmali/commits
Edouard-chin,Edouard CHIN,200,https://contributors.rubyonrails.org/contributors/edouard-chin/commits
seuros,Abdelkader Boudih,194,https://contributors.rubyonrails.org/contributors/abdelkader-boudih/commits
,Nick Kallen,192,https://contributors.rubyonrails.org/contributors/nick-kallen/commits
fcheung,Frederick Cheung,183,https://contributors.rubyonrails.org/contributors/frederick-cheung/commits
gbuesing,Geoff Buesing,179,https://contributors.rubyonrails.org/contributors/geoff-buesing/commits
smartinez87,Sebastian Martinez,161,https://contributors.rubyonrails.org/contributors/sebastian-martinez/commits
lest,Sergey Nartimov,159,https://contributors.rubyonrails.org/contributors/sergey-nartimov/commits
lukaszx0,Łukasz Strzałkowski,158,https://contributors.rubyonrails.org/contributors/lukasz-strzalkowski/commits
skipkayhil,Adrianna Chang,156,https://contributors.rubyonrails.org/contributors/adrianna-chang/commits
yhirano55,Yoshiyuki Hirano,154,https://contributors.rubyonrails.org/contributors/yoshiyuki-hirano/commits
seanpdoyle,Sean Doyle,153,https://contributors.rubyonrails.org/contributors/sean-doyle/commits
brynary,Bryan Helmkamp,143,https://contributors.rubyonrails.org/contributors/bryan-helmkamp/commits
hkdsun,Guo Xiang Tan,143,https://contributors.rubyonrails.org/contributors/guo-xiang-tan/commits
sstephenson,Sam Stephenson,142,https://contributors.rubyonrails.org/contributors/sam-stephenson/commits
joshk,Josh Kalderimis,140,https://contributors.rubyonrails.org/contributors/josh-kalderimis/commits
oscardelben,Oscar Del Ben,140,https://contributors.rubyonrails.org/contributors/oscar-del-ben/commits
,Tobias Lütke,131,https://contributors.rubyonrails.org/contributors/tobias-lutke/commits
bogdan,Bogdan Gusiev,128,https://contributors.rubyonrails.org/contributors/bogdan-gusiev/commits
tarmo,Tarmo Tänav,126,https://contributors.rubyonrails.org/contributors/tarmo-tanav/commits
avakhov,Alexey Vakhov,123,https://contributors.rubyonrails.org/contributors/alexey-vakhov/commits
nvasilevski,Nikita Vasilevsky,123,https://contributors.rubyonrails.org/contributors/nikita-vasilevsky/commits
dhh,Akhil G Krishnan,118,https://contributors.rubyonrails.org/contributors/akhil-g-krishnan/commits
FooBarWidget,Hongli Lai (Phusion),118,https://contributors.rubyonrails.org/contributors/hongli-lai-phusion/commits
p8,Jorge Manrubia,117,https://contributors.rubyonrails.org/contributors/jorge-manrubia/commits
utilum,utilum,116,https://contributors.rubyonrails.org/contributors/utilum/commits
JuanitoFatas,Juanito Fatas,112,https://contributors.rubyonrails.org/contributors/juanito-fatas/commits
,Vishnu Atrai,112,https://contributors.rubyonrails.org/contributors/vishnu-atrai/commits
abhaynikam,Abhay Nikam,111,https://contributors.rubyonrails.org/contributors/abhay-nikam/commits
Ridhwana,Ridhwana,111,https://contributors.rubyonrails.org/contributors/ridhwana/commits
,Sven Fuchs,111,https://contributors.rubyonrails.org/contributors/sven-fuchs/commits
akshay-vishnoi,Akshay Vishnoi,109,https://contributors.rubyonrails.org/contributors/akshay-vishnoi/commits
koic,Koichi ITO,109,https://contributors.rubyonrails.org/contributors/koichi-ito/commits
jasonnoble,Jason Noble,107,https://contributors.rubyonrails.org/contributors/jason-noble/commits
etiennebarrie,Étienne Barrié,105,https://contributors.rubyonrails.org/contributors/etienne-barrie/commits
madrobby,Thomas Fuchs,104,https://contributors.rubyonrails.org/contributors/thomas-fuchs/commits
jaimeiniesta,Jaime Iniesta,103,https://contributors.rubyonrails.org/contributors/jaime-iniesta/commits
kirs,Kir Shatrov,102,https://contributors.rubyonrails.org/contributors/kir-shatrov/commits
,Damien Mathieu,101,https://contributors.rubyonrails.org/contributors/damien-mathieu/commits
,Stefan Kaes,99,https://contributors.rubyonrails.org/contributors/stefan-kaes/commits
ernie,Ernie Miller,95,https://contributors.rubyonrails.org/contributors/ernie-miller/commits
p8,Rizwan Reza,94,https://contributors.rubyonrails.org/contributors/rizwan-reza/commits
meinac,Mehmet Emin İNAÇ,92,https://contributors.rubyonrails.org/contributors/mehmet-emin-inac/commits
jhawthorn,Daniel Colson,90,https://contributors.rubyonrails.org/contributors/daniel-colson/commits
Earlopain,Earlopain,89,https://contributors.rubyonrails.org/contributors/earlopain/commits
gsamokovarov,Genadi Samokovarov,89,https://contributors.rubyonrails.org/contributors/genadi-samokovarov/commits
chuyeow,Cheah Chu Yeow,88,https://contributors.rubyonrails.org/contributors/cheah-chu-yeow/commits
adrianna-chang-shopify,John Crepezzi,88,https://contributors.rubyonrails.org/contributors/john-crepezzi/commits
flavorjones,Mike Dalessio,87,https://contributors.rubyonrails.org/contributors/mike-dalessio/commits
wangjohn,John J. Wang,85,https://contributors.rubyonrails.org/contributors/john-j-wang/commits
,Aditya Kapoor,84,https://contributors.rubyonrails.org/contributors/aditya-kapoor/commits
,Kuldeep Aggarwal,83,https://contributors.rubyonrails.org/contributors/kuldeep-aggarwal/commits
,Leon Breedt,82,https://contributors.rubyonrails.org/contributors/leon-breedt/commits
,Raimonds Simanovskis,82,https://contributors.rubyonrails.org/contributors/raimonds-simanovskis/commits
,thedarkone,80,https://contributors.rubyonrails.org/contributors/thedarkone/commits
